,Item Purchased,Category,count
0,Backpack,Accessories,143
1,Belt,Accessories,161
2,Blouse,Clothing,171
3,Boots,Footwear,144
4,Coat,Outerwear,161
5,Dress,Clothing,166
6,Gloves,Accessories,140
7,Handbag,Accessories,153
8,Hat,Accessories,154
9,Hoodie,Clothing,151
10,Jacket,Outerwear,163
11,Jeans,Clothing,124
12,Jewelry,Accessories,171
13,Pants,Clothing,171
14,Sandals,Footwear,160
15,Scarf,Accessories,157
16,Shirt,Clothing,169
17,Shoes,Footwear,150
18,Shorts,Clothing,157
19,Skirt,Clothing,158
20,Sneakers,Footwear,145
21,Socks,Clothing,159
22,Sunglasses,Accessories,161
23,Sweater,Clothing,164
24,T-shirt,Clothing,147
