,Gender,Age,count
0,Female,18,20
1,Female,19,27
2,Female,20,12
3,Female,21,19
4,Female,22,28
5,Female,23,25
6,Female,24,21
7,Female,25,21
8,Female,26,25
9,Female,27,28
10,Female,28,26
11,Female,29,23
12,Female,30,20
13,Female,31,30
14,Female,32,23
15,Female,33,23
16,Female,34,22
17,Female,35,22
18,Female,36,24
19,Female,37,19
20,Female,38,25
21,Female,39,26
22,Female,40,23
23,Female,41,19
24,Female,42,25
25,Female,43,26
26,Female,44,23
27,Female,45,33
28,Female,46,30
29,Female,47,27
30,Female,48,25
31,Female,49,20
32,Female,50,30
33,Female,51,21
34,Female,52,32
35,Female,53,20
36,Female,54,16
37,Female,55,25
38,Female,56,22
39,Female,57,32
40,Female,58,27
41,Female,59,17
42,Female,60,18
43,Female,61,23
44,Female,62,32
45,Female,63,28
46,Female,64,19
47,Female,65,22
48,Female,66,21
49,Female,67,14
50,Female,68,22
51,Female,69,25
52,Female,70,22
53,Male,18,49
54,Male,19,54
55,Male,20,50
56,Male,21,50
57,Male,22,38
58,Male,23,46
59,Male,24,47
60,Male,25,64
61,Male,26,44
62,Male,27,55
63,Male,28,53
64,Male,29,53
65,Male,30,51
66,Male,31,49
67,Male,32,59
68,Male,33,40
69,Male,34,46
70,Male,35,50
71,Male,36,50
72,Male,37,58
73,Male,38,45
74,Male,39,42
75,Male,40,49
76,Male,41,67
77,Male,42,55
78,Male,43,53
79,Male,44,28
80,Male,45,39
81,Male,46,46
82,Male,47,44
83,Male,48,43
84,Male,49,64
85,Male,50,53
86,Male,51,51
87,Male,52,41
88,Male,53,50
89,Male,54,67
90,Male,55,48
91,Male,56,52
92,Male,57,55
93,Male,58,54
94,Male,59,58
95,Male,60,47
96,Male,61,42
97,Male,62,51
98,Male,63,47
99,Male,64,54
100,Male,65,50
101,Male,66,50
102,Male,67,40
103,Male,68,53
104,Male,69,63
105,Male,70,45
