,Item Purchased,Gender,frequency,probability
0,Belt,Female,13,0.03951367781155015
1,Blouse,Female,41,0.12462006079027356
2,Boots,Female,22,0.0668693009118541
3,Dress,Female,30,0.0911854103343465
4,Handbag,Female,33,0.10030395136778116
5,Hoodie,Female,10,0.030395136778115502
6,Jacket,Female,23,0.06990881458966565
7,Jewelry,Female,23,0.06990881458966565
8,Pants,Female,10,0.030395136778115502
9,Sandals,Female,21,0.06382978723404255
10,Scarf,Female,11,0.03343465045592705
11,Shirt,Female,22,0.0668693009118541
12,Shoes,Female,12,0.0364741641337386
13,Skirt,Female,10,0.030395136778115502
14,Socks,Female,13,0.03951367781155015
15,Sunglasses,Female,12,0.0364741641337386
16,Sweater,Female,13,0.03951367781155015
17,T-shirt,Female,10,0.030395136778115502
