,Item Purchased,Gender,Frequency of Purchases,frequency
18,Belt,Female,Monthly,13
28,Blouse,Female,Annually,13
29,Blouse,Female,Bi-Weekly,14
30,Blouse,Female,Every 3 Months,14
45,Boots,Female,Fortnightly,10
47,Boots,Female,Quarterly,12
70,Dress,Female,Annually,10
71,Dress,Female,Bi-Weekly,10
74,Dress,Female,Monthly,10
99,Handbag,Female,Bi-Weekly,11
100,Handbag,Female,Every 3 Months,10
102,Handbag,Female,Monthly,12
128,Hoodie,Female,Every 3 Months,10
142,Jacket,Female,Every 3 Months,10
143,Jacket,Female,Fortnightly,13
168,Jewelry,Female,Annually,10
170,Jewelry,Female,Every 3 Months,13
186,Pants,Female,Monthly,10
197,Sandals,Female,Bi-Weekly,11
198,Sandals,Female,Every 3 Months,10
210,Scarf,Female,Annually,11
225,Shirt,Female,Bi-Weekly,12
228,Shirt,Female,Monthly,10
244,Shoes,Female,Weekly,12
270,Skirt,Female,Monthly,10
294,Socks,Female,Annually,13
313,Sunglasses,Female,Quarterly,12
323,Sweater,Female,Bi-Weekly,13
336,T-shirt,Female,Annually,10
