,Item Purchased,Gender,frequency,probability
0,Backpack,Male,66,0.045548654244306416
1,Belt,Male,53,0.03657694962042788
2,Blouse,Male,88,0.06073153899240856
3,Boots,Male,35,0.024154589371980676
4,Coat,Male,59,0.04071773636991028
5,Dress,Male,91,0.06280193236714976
6,Gloves,Male,34,0.023464458247066944
7,Handbag,Male,38,0.026224982746721876
8,Hat,Male,42,0.028985507246376812
9,Hoodie,Male,37,0.025534851621808144
10,Jacket,Male,56,0.03864734299516908
11,Jeans,Male,54,0.037267080745341616
12,Jewelry,Male,94,0.06487232574189096
13,Pants,Male,83,0.05728088336783989
14,Sandals,Male,51,0.035196687370600416
15,Scarf,Male,71,0.04899930986887509
16,Shirt,Male,62,0.04278812974465148
17,Shoes,Male,37,0.025534851621808144
18,Shorts,Male,71,0.04899930986887509
19,Skirt,Male,52,0.035886818495514144
20,Sneakers,Male,37,0.025534851621808144
21,Socks,Male,85,0.05866114561766736
22,Sunglasses,Male,41,0.028295376121463076
23,Sweater,Male,76,0.05244996549344375
24,T-shirt,Male,36,0.024844720496894408
