,Category,Season,Gender,frequency
0,Accessories,Fall,Female,110
1,Accessories,Fall,Male,214
2,Accessories,Spring,Female,85
3,Accessories,Spring,Male,216
4,Accessories,Summer,Female,100
5,Accessories,Summer,Male,212
6,Accessories,Winter,Female,97
7,Accessories,Winter,Male,206
8,Clothing,Fall,Female,152
9,Clothing,Fall,Male,275
10,Clothing,Spring,Female,136
11,Clothing,Spring,Male,318
12,Clothing,Summer,Female,126
13,Clothing,Summer,Male,282
14,Clothing,Winter,Female,142
15,Clothing,Winter,Male,306
16,Footwear,Fall,Female,41
17,Footwear,Fall,Male,95
18,Footwear,Spring,Female,66
19,Footwear,Spring,Male,97
20,Footwear,Summer,Female,47
21,Footwear,Summer,Male,113
22,Footwear,Winter,Female,45
23,Footwear,Winter,Male,95
24,Outerwear,Fall,Female,25
25,Outerwear,Fall,Male,63
26,Outerwear,Spring,Female,29
27,Outerwear,Spring,Male,52
28,Outerwear,Summer,Female,25
29,Outerwear,Summer,Male,50
30,Outerwear,Winter,Female,22
31,Outerwear,Winter,Male,58
