,Item Purchased,Gender,Season,count
0,Backpack,Female,Fall,8
1,Backpack,Female,Spring,8
2,Backpack,Female,Summer,15
3,Backpack,Female,Winter,6
4,Backpack,Male,Fall,26
5,Backpack,Male,Spring,31
6,Backpack,Male,Summer,30
7,Backpack,Male,Winter,19
8,Belt,Female,Fall,15
9,Belt,Female,Spring,12
10,Belt,Female,Summer,14
11,Belt,Female,Winter,14
12,Belt,Male,Fall,26
13,Belt,Male,Spring,29
14,Belt,Male,Summer,25
15,Belt,Male,Winter,26
16,Blouse,Female,Fall,18
17,Blouse,Female,Spring,17
18,Blouse,Female,Summer,18
19,Blouse,Female,Winter,13
20,Blouse,Male,Fall,24
21,Blouse,Male,Spring,29
22,Blouse,Male,Summer,25
23,Blouse,Male,Winter,27
24,Boots,Female,Fall,8
25,Boots,Female,Spring,17
26,Boots,Female,Summer,14
27,Boots,Female,Winter,11
28,Boots,Male,Fall,27
29,Boots,Male,Spring,23
30,Boots,Male,Summer,24
31,Boots,Male,Winter,20
32,Coat,Female,Fall,9
33,Coat,Female,Spring,16
34,Coat,Female,Summer,13
35,Coat,Female,Winter,9
36,Coat,Male,Fall,25
37,Coat,Male,Spring,30
38,Coat,Male,Summer,29
39,Coat,Male,Winter,30
40,Dress,Female,Fall,12
41,Dress,Female,Spring,10
42,Dress,Female,Summer,17
43,Dress,Female,Winter,13
44,Dress,Male,Fall,24
45,Dress,Male,Spring,33
46,Dress,Male,Summer,30
47,Dress,Male,Winter,27
48,Gloves,Female,Fall,10
49,Gloves,Female,Spring,9
50,Gloves,Female,Summer,9
51,Gloves,Female,Winter,9
52,Gloves,Male,Fall,27
53,Gloves,Male,Spring,33
54,Gloves,Male,Summer,20
55,Gloves,Male,Winter,23
56,Handbag,Female,Fall,18
57,Handbag,Female,Spring,17
58,Handbag,Female,Summer,15
59,Handbag,Female,Winter,8
60,Handbag,Male,Fall,30
61,Handbag,Male,Spring,19
62,Handbag,Male,Summer,20
63,Handbag,Male,Winter,26
64,Hat,Female,Fall,22
65,Hat,Female,Spring,7
66,Hat,Female,Summer,8
67,Hat,Female,Winter,15
68,Hat,Male,Fall,28
69,Hat,Male,Spring,20
70,Hat,Male,Summer,29
71,Hat,Male,Winter,25
72,Hoodie,Female,Fall,13
73,Hoodie,Female,Spring,13
74,Hoodie,Female,Summer,10
75,Hoodie,Female,Winter,15
76,Hoodie,Male,Fall,23
77,Hoodie,Male,Spring,23
78,Hoodie,Male,Summer,21
79,Hoodie,Male,Winter,33
80,Jacket,Female,Fall,16
81,Jacket,Female,Spring,13
82,Jacket,Female,Summer,12
83,Jacket,Female,Winter,13
84,Jacket,Male,Fall,38
85,Jacket,Male,Spring,22
86,Jacket,Male,Summer,21
87,Jacket,Male,Winter,28
88,Jeans,Female,Fall,8
89,Jeans,Female,Spring,9
90,Jeans,Female,Summer,7
91,Jeans,Female,Winter,5
92,Jeans,Male,Fall,24
93,Jeans,Male,Spring,23
94,Jeans,Male,Summer,24
95,Jeans,Male,Winter,24
96,Jewelry,Female,Fall,9
97,Jewelry,Female,Spring,13
